Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     12.3734	     12.3734	      6.9000	2.7.2018	8.40.31 PM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.692268	  0.015658	 31.316291	  0.013838	  0.552876	  7.650798	 70.581672	 15.301596	  4.809533	3576.585608			
   												
Vmeas       	Imeas       											
  0.706000	 -0.003152											
  0.692350	  0.000077											
  0.678700	  0.002931											
  0.665050	  0.005346											
  0.651350	  0.007388											
  0.637700	  0.009050											
  0.624050	  0.010386											
  0.610400	  0.011435											
  0.596700	  0.012260											
  0.583050	  0.012897											
  0.569400	  0.013390											
  0.555750	  0.013784											
  0.542100	  0.014091											
  0.528400	  0.014348											
  0.514750	  0.014559											
  0.501100	  0.014747											
  0.487450	  0.014883											
  0.473750	  0.014997											
  0.460100	  0.015090											
  0.446450	  0.015172											
  0.432800	  0.015233											
  0.419100	  0.015276											
  0.405450	  0.015319											
  0.391800	  0.015349											
  0.378150	  0.015383											
  0.364500	  0.015413											
  0.350800	  0.015426											
  0.337150	  0.015462											
  0.323500	  0.015508											
  0.309850	  0.015541											
  0.296150	  0.015547											
  0.282500	  0.015553											
  0.268850	  0.015563											
  0.255200	  0.015572											
  0.241550	  0.015573											
  0.227850	  0.015580											
  0.214200	  0.015578											
  0.200550	  0.015590											
  0.186900	  0.015592											
  0.173200	  0.015607											
  0.159550	  0.015611											
  0.145900	  0.015621											
  0.132250	  0.015627											
  0.118600	  0.015632											
  0.104900	  0.015630											
  0.091250	  0.015627											
  0.077600	  0.015626											
  0.063950	  0.015656											
  0.050250	  0.015664											
  0.036600	  0.015663											
  0.022950	  0.015652											
  0.009300	  0.015668											
 -0.004350	  0.015667											
 -0.018050	  0.015661											
 -0.031700	  0.015658											
 -0.045350	  0.015662											
 -0.059000	  0.015661											
 -0.072700	  0.015669											
 -0.086350	  0.015674											
 -0.100000	  0.015694											
